en,nl,de,fr,es,eo,ru
Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.,-,Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.,-,-,-,-
Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species,,Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. ,,,,
,,"Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.",,,,
"Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",,,,,,
