guid,name,freq,ger_pop,tags
A!bfQu.zZe,Anas crecca,540,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Anas
KH$MV<FWq=,Milvus milvus,540,,
OY.]}^s(&k,Emberiza schoeniclus,550,,Animalia::Chordata::Aves::Passeriformes::Emberizidae::Emberiza
u|5$M;tM}S,Aythya ferina,560,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Aythya
v=)ZoE+?0B,Corvus cornix,570,,Animalia::Chordata::Aves::Passeriformes::Corvidae::Corvus
vMnT&PDRsB,Corvus corax,580,,Animalia::Chordata::Aves::Passeriformes::Corvidae::Corvus
t<+GhvD&7*,Regulus regulus,590,,Animalia::Chordata::Aves::Passeriformes::Regulidae::Regulus
"bJp5,F~x7U",Spinus spinus,600,,Animalia::Chordata::Aves::Passeriformes::Fringillidae::Carduelis Animalia::Chordata::Aves::Passeriformes::Fringillidae::Spinus
MJsBDc/Rh},Phylloscopus trochilus,610,,Animalia::Chordata::Aves::Passeriformes::Phylloscopidae::Phylloscopus
gs/mFdK#Y1,Alcedo atthis,620,,Animalia::Chordata::Aves::Coraciiformes::Alcedinidae::Alcedo
P6B2k+-?Y2,Larus argentatus,630,,Animalia::Chordata::Aves::Charadriiformes::Laridae::Larus
dxAnc7+5I,Ciconia ciconia,640,,
D6VorEP&!x,Coccothraustes coccothraustes,650,,Animalia::Chordata::Aves::Passeriformes::Fringillidae::Coccothraustes
AimVTiUd0d,Linaria cannabina,660,,Animalia::Chordata::Aves::Passeriformes::Fringillidae::Carduelis Animalia::Chordata::Aves::Passeriformes::Fringillidae::Linaria
iW3PUPwzR/,Cuculus canorus,670,,Animalia::Chordata::Aves::Cuculiformes::Cuculidae::Cuculus
d0pLmfTeA0,Phasianus colchicus,680,,Animalia::Chordata::Aves::Galliformes::Phasianidae::Phasianus
QjyXC2pQuV,Ciconia ciconia,680,,
L.[sEUTmSd,Corvus frugilegus,690,,Animalia::Chordata::Aves::Passeriformes::Corvidae::Corvus
F4$D%=(J@n,Accipiter nisus,700,,Animalia::Chordata::Aves::Accipitriformes::Accipitridae::Accipiter
ws0$s|^i`=,Mergus merganser,710,,
y}iG+K2gNG,Spatula clypeata,720,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Anas
"z.&s,t)zfr",Periparus ater,730,,
t62s-vML[N,Mergus merganser,730,,
vO^f-@{{Y<,Curruca communis,740,,Animalia::Chordata::Aves::Passeriformes::Sylviidae::Curruca Animalia::Chordata::Aves::Passeriformes::Sylviidae::Sylvia
bj$z5&[j!0,Turdus viscivorus,750,,Animalia::Chordata::Aves::Passeriformes::Turdidae::Turdus
L>nA[{K3dF,Mareca penelope,760,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Anas
p4TD?GB@f8,Periparus ater,760,,
vG6t>4<lFq,Motacilla flava,770,,Animalia::Chordata::Aves::Passeriformes::Motacillidae::Motacilla
OP^j|36]Gc,Anthus pratensis,780,,Animalia::Chordata::Aves::Passeriformes::Motacillidae::Anthus
x=~Q#=$w6V,Larus canus,790,,Animalia::Chordata::Aves::Charadriiformes::Laridae::Larus
b<u/&0V3wJ,Acrocephalus scirpaceus,800,,Animalia::Chordata::Aves::Passeriformes::Acrocephalidae::Acrocephalus
"H@|NG,q7X|",Motacilla cinerea,810,,
e#gFiqA{;p,Bucephala clangula,820,,
xi={6#Ys[],Circus aeruginosus,830,,Animalia::Chordata::Aves::Accipitriformes::Accipitridae::Circus
qG-DOy;ua2,Larus michahellis,840,,
jJ$8Kq[&aO,Motacilla cinerea,840,,
"F,9e*j>-?R",Milvus migrans,850,,
M&oIel<YNQ,Bucephala clangula,850,,
M3MhCC?o*U,Grus grus,860,,
tnb&;;0rP8,Larus michahellis,870,,
PCc<dXUR/+,Sylvia borin,880,,Animalia::Chordata::Aves::Passeriformes::Sylviidae::Sylvia
h`4W%G/Kp<,Grus grus,880,,
lIYwhl8w$q,Milvus migrans,890,,
wNOb_>e4OT,Columba oenas,900,,Animalia::Chordata::Aves::Columbiformes::Columbidae::Columba
"qn%u,Z3C=",Tadorna tadorna,920,,
f`3BSNp)pe,Serinus serinus,930,,
"mv*8,-{%_o",Regulus ignicapilla,940,,
BfAmp*.Lbe,Lanius collurio,950,,
"Kj5::c(,Wr",Gallinago gallinago,960,,
i4PF8osXS1,Lophophanes cristatus,970,,
bmh|@>N`Ew,Dryocopus martius,980,,Animalia::Chordata::Aves::Piciformes::Picidae::Dryocopus
J06Xf2iD@5,Turdus iliacus,980,,
o><cHwGw%b,Saxicola rubicola,990,,
Qp%szl8SZp,Luscinia megarhynchos,1000,,
i~.BCFtrhv,Picus viridis,1001,,Animalia::Chordata::Aves::Piciformes::Picidae::Picus
kVEP%Ia@nV,Anser albifrons,1020,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Anser
lI37ZQ6f:^,Netta rufina,1020,,
q2mea?+~Mn,Numenius arquata,1030,,Animalia::Chordata::Aves::Charadriiformes::Scolopacidae::Numenius
"z,/}{fGO0)",Certhia familiaris,1030,,
n68Hjg_0a-,Phoenicurus phoenicurus,1050,,
"QJ,B>44Ovx",Curruca curruca,1070,,
HftYiI[jk&,Haematopus ostralegus,1080,,Animalia::Chordata::Aves::Charadriiformes::Haematopodidae::Haematopus
xpwwvR&M*v,Muscicapa striata,1080,,
J?VGbmK@cr,Poecile montanus,1090,,Animalia::Chordata::Aves::Passeriformes::Paridae::Poecile
BI+bw]/`<0,Branta leucopsis,1120,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Branta
x.!lxu}~Z=,Fringilla montifringilla,1130,,
mO+uEZ>2UP,Dendrocoptes medius,1140,,Animalia::Chordata::Aves::Piciformes::Picidae::Dendrocopos
e}Wt0G4k^p,Accipiter gentilis,1160,,Animalia::Chordata::Aves::Accipitriformes::Accipitridae::Accipiter
F5GU+pXh$J,Riparia riparia,1170,,Animalia::Chordata::Aves::Passeriformes::Hirundinidae::Riparia
G7_eX#W>Dx,Larus marinus,1190,,Animalia::Chordata::Aves::Charadriiformes::Laridae::Larus
K5f3IK(@{b,Haliaeetus albicilla,1220,,Animalia::Chordata::Aves::Accipitriformes::Accipitridae::Haliaeetus
CEf#@njRhj,Larus fuscus,1240,,Animalia::Chordata::Aves::Charadriiformes::Laridae::Larus
D0aYhgHBi7,Tringa ochropus,1250,,Animalia::Chordata::Aves::Charadriiformes::Scolopacidae::Tringa
[p8q81`7{,Sterna hirundo,1250,,
JLxCnG2hoO,Psittacula krameri,1260,,
GeEQI>urOK,Tringa totanus,1270,,Animalia::Chordata::Aves::Charadriiformes::Scolopacidae::Tringa
Pq2D6}$xla,Acrocephalus palustris,1280,,Animalia::Chordata::Aves::Passeriformes::Acrocephalidae::Acrocephalus
