name,name:com,name:en,name:nl,name:de,name:fr,name:es,name:eo,name:ru
Chroicocephalus ridibundus,Black-headed Gull,Black-headed Gull,kokmeeuw,Lachmöwe,mouette rieuse,gaviota reidora,ridmevo,озёрная ча́йка
Anser albifrons,Greater White-fronted Goose,Greater White-fronted Goose,kolgans,Blässgans,oie rieuse,ánsar careto,blankfrunta ansero,белоло́бый гу́сь
Parus major,Great Tit,Great Tit,koolmees,Kohlmeise,mésange charbonnière,carbonero común,granda paruo,больша́я сини́ца
Mareca strepera,Gadwall,Gadwall,krakeend,Schnatterente,canard chipeau,ánade friso,knaranaso,се́рая у́тка
Aythya fuligula,Tufted Duck,Tufted Duck,kuifeend,Reiherente,fuligule morillon,porrón moñudo,tufanaso,хохла́тая че́рнеть
Coturnix coturnix,Common Quail,Common Quail,kwartel,Wachtel,caille des blés,codorniz común,ordinara koturno,обыкнове́нный пе́репел
Fulica atra,Eurasian Coot,Eurasian Coot,meerkoet,Blässhuhn,foulque macroule,focha común,nigra fuliko,лысу́ха
Turdus merula,Eurasian Blackbird,Eurasian Blackbird,merel,Amsel,merle noir,mirlo común,merlo,чёрный дрозд
Dendrocoptes medius,Middle Spotted Woodpecker,Middle Spotted Woodpecker,middelste bonte specht,Mittelspecht,pic mar,pico mediano,mezgranda buntpego,cре́дний пёстрый дя́тел
Alopochen aegyptiaca,Egyptian Goose,Egyptian Goose,nijlgans,Nilgans,ouette d'Égypte,ganso del Nilo,Egipta ansero,ни́льский гусь
Bubo bubo,Eurasian Eagle-Owl,Eurasian Eagle-Owl,oehoe,Uhu,hibou grand-duc,búho real,gufo,обыкнове́нный фи́лин
Riparia riparia,Bank Swallow,Bank Swallow,oeverzwaluw,Uferschwalbe,hirondelle de rivage,avión zapador,bordhirundo,берегову́шка
Perdix perdix,Gray Partridge,Gray Partridge,patrijs,Rebhuhn,perdrix grise,perdiz pardilla,griza perdriko,се́рая куропа́тка
Cyanistes caeruleus,Eurasian Blue Tit,Eurasian Blue Tit,pimpelmees,Blaumeise,mésange bleue,herrerillo común,blua paruo,обыкнове́нная лазо́ревка
Ardea purpurea,Purple Heron,Purple Heron,purperreiger,Purpurreiher,héron pourpré,garza imperial,purpura ardeo,ры́жая ца́пля
Carduelis carduelis,European Goldfinch,European Goldfinch,putter,Stieglitz,chardonneret élégant,jilguero europeo,kardelo,черноголо́вый щего́л
Corvus corax,Common Raven,Common Raven,raaf,Kolkrabe,grand corbeau,cuervo grande,korako,во́рон
Asio otus,Long-eared Owl,Long-eared Owl,ransuil,Waldohreule,hibou moyen-duc,búho chico,orelstrigo,уша́стая сова́
Numenius phaeopus,Whimbrel,Whimbrel,regenwulp,Regenbrachvogel,courlis corlieu,zarapito trinador,malgranda kurlo,сре́дний кро́ншнеп
Emberiza schoeniclus,Reed Bunting,Reed Bunting,rietgors,Rohrammer,bruant des roseaux,escribano palustre,kanemberizo,камышо́вая овся́нка
Acrocephalus schoenobaenus,Sedge Warbler,Sedge Warbler,rietzanger,Schilfrohrsänger,phragmite des joncs,carricerín común,junkokanbirdo,камышо́вка-барсучо́к
Passer montanus,Eurasian Tree Sparrow,Eurasian Tree Sparrow,ringmus,Feldsperling,moineau friquet,gorrión molinero,kampopasero,полево́й воробе́й
Corvus frugilegus,Rook,Rook,roek,Saatkrähe,corbeau freux,graja,frugilego,грач
Erithacus rubecula,European Robin,European Robin,roodborst,Rotkelhchen,rouge-gorge familier,petirrojo europeo,ruĝgorĝulo,заря́нка
Haematopus ostralegus,Eurasian Oystercatcher,Eurasian Oystercatcher,scholekster,Austernfischer,huîtrier pie,ostrero euroasiático,hematopo,кули́к-соро́ка
Falco peregrinus,Peregrine Falcon,Peregrine Falcon,slechtvalk,Wanderfalke,faucon pèlerin,halcón peregrino,migra falko,сапса́н
Spatula clypeata,Northern Shoveler,Northern Shoveler,slobeend,Löffelente,canard souchet,cuchara común,kuleranaso,широконо́ска
