name,size,weight,wspan,food:en,habitat:en,taxonomy,food:de,food:eo,food:es,food:fr,food:nl,food:ru,habitat:de,habitat:eo,habitat:es,habitat:fr,habitat:nl,habitat:ru
Ardea cinerea,90-98,1.5-2k,175-195,"fish, ducklings, voles, amphibians, rodents","woodland, farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Pelecaniformes</div><div>Family Ardeidae</div><div>Genus&nbsp;<i>Ardea</i></div>,"Fische, Entenküken, Wühlmäuse, Amphibien, Nagetiere",,,,,"рыба, утята, полёвки, земноводные, грызуны","lichte Wälder, Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Phylloscopus collybita,10-11,6-10,15-21,insects,"woodland, farmland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Phylloscopidae</div><div>Genus <i>Phylloscopus</i></div>,Insekten,,,,,насекомые ,"lichte Wälder, Äcker, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, пустоши, городская среда, пригород"
Troglodytes troglodytes,9-10,7-12,13-17,insects,"woodland, farmland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Troglodytidae</div><div>Genus<i>&nbsp;Troglodytes</i></div>,Insekten,,,,,насекомые ,"lichte Wälder, Äcker, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, пустоши, городская среда, пригород"
Garrulus glandarius,34-35,140-190,52-58,"acorns, seeds, insects","woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Corvidae</div><div>Genus&nbsp;<i>Garrulus</i></div>,"Eicheln, Samen, Insekten",,,,,"жёлуди, семена, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Phalacrocorax carbo,80-100,2.1-2.5k,130-160,fish,"marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Suliformes</div><div>Family Phalacrocoracidae</div><div>Genus&nbsp;<i>Phalacrocorax</i></div>,Fische,,,,,рыба,"Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"море, приливно-отливная зона, городская среда, пригород"
Sitta europaea,14,20-25,22.5-27,"insects, acorns, beechmast, seeds","woodland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Sittidae</div><div>Genus&nbsp;<i>Sitta</i></div>,"Insekten, Eicheln, Bucheckern, Samen",,,,,"насекомые , жёлуди, буковый орех, семена","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Fulica atra,36-38,600-900,70-80,"seeds, snails","grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Gruiformes</div><div>Family Rallidae</div><div>Genus&nbsp;<i>Fulica</i></div>,"Samen, Schnecken",,,,,"семена, улитки","Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Chloris chloris,15,28,26,"seeds, insects","woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus <i>Chloris</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Motacilla alba,18,17-25,25-30,"insects, seeds","farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Motacillidae</div><div>Genus <i>Motacilla</i></div>,"Insekten, Samen",,,,,"насекомые , семена","Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Sylvia atricapilla,13,21,20-23,"insects, berries","woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Sylviidae</div><div>Genus&nbsp;<i>Sylvia</i></div>,"Insekten, Beeren",,,,,"насекомые , ягоды","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
