name,image,image_female,image_male,image_silh,map
Certhia brachydactyla,Certhia_brachydactyla_image_1.jpg|Certhia_brachydactyla_image_2.jpg|Certhia_brachydactyla_image_3.jpg|Certhia_brachydactyla_image_4.jpg|Certhia_brachydactyla_image_5.jpg,,,,
Chloris chloris,,Chloris_chloris_image_female_1.jpg|Chloris_chloris_image_female_2.jpg|Chloris_chloris_image_female_3.jpg|Chloris_chloris_image_female_4.jpg|Chloris_chloris_image_female_5.jpg,Chloris_chloris_image_male_1.jpg|Chloris_chloris_image_male_2.jpg|Chloris_chloris_image_male_3.jpg|Chloris_chloris_image_male_4.jpg|Chloris_chloris_image_male_5.jpg,,
Chroicocephalus ridibundus,Chroicocephalus_ridibundus_image_1.jpg|Chroicocephalus_ridibundus_image_2.jpg|Chroicocephalus_ridibundus_image_3.jpg|Chroicocephalus_ridibundus_image_4.jpg|Chroicocephalus_ridibundus_image_5.jpg,,,,
Circus aeruginosus,,Circus_aeruginosus_image_female_1.jpg|Circus_aeruginosus_image_female_2.jpg|Circus_aeruginosus_image_female_3.jpg|Circus_aeruginosus_image_female_4.jpg|Circus_aeruginosus_image_female_5.jpg,Circus_aeruginosus_image_male_1.jpg|Circus_aeruginosus_image_male_2.jpg|Circus_aeruginosus_image_male_3.jpg|Circus_aeruginosus_image_male_4.jpg|Circus_aeruginosus_image_male_5.jpg,Circus_aeruginosus_image_silh_1.jpg|Circus_aeruginosus_image_silh_2.jpg|Circus_aeruginosus_image_silh_3.jpg,
Circus cyaneus,,Circus_cyaneus_image_female_1.jpg|Circus_cyaneus_image_female_2.jpg|Circus_cyaneus_image_female_3.jpg|Circus_cyaneus_image_female_4.jpg|Circus_cyaneus_image_female_5.jpg,Circus_cyaneus_image_male_1.jpg|Circus_cyaneus_image_male_2.jpg|Circus_cyaneus_image_male_3.jpg|Circus_cyaneus_image_male_4.jpg|Circus_cyaneus_image_male_5.jpg,Circus_cyaneus_image_silh_1.jpg|Circus_cyaneus_image_silh_2.jpg,
Coccothraustes coccothraustes,,Coccothraustes_coccothraustes_image_female_1.jpg|Coccothraustes_coccothraustes_image_female_2.jpg|Coccothraustes_coccothraustes_image_female_3.jpg|Coccothraustes_coccothraustes_image_female_4.jpg|Coccothraustes_coccothraustes_image_female_5.jpg,Coccothraustes_coccothraustes_image_male_1.jpg|Coccothraustes_coccothraustes_image_male_2.jpg|Coccothraustes_coccothraustes_image_male_3.jpg|Coccothraustes_coccothraustes_image_male_4.jpg|Coccothraustes_coccothraustes_image_male_5.jpg,,
Columba livia domestica,Columba_livia_domestica_image_1.jpg|Columba_livia_domestica_image_2.jpg|Columba_livia_domestica_image_3.jpg|Columba_livia_domestica_image_4.jpg|Columba_livia_domestica_image_5.jpg,,,,
Columba oenus,Columba_oenus_image_1.jpg|Columba_oenus_image_2.jpg|Columba_oenus_image_3.jpg|Columba_oenus_image_4.jpg|Columba_oenus_image_5.jpg,,,,
Columba palumbus,Columba_palumbus_image_1.jpg|Columba_palumbus_image_2.jpg|Columba_palumbus_image_3.jpg|Columba_palumbus_image_4.jpg|Columba_palumbus_image_5.jpg,,,,
Corvus corax,Corvus_corax_image_1.jpg|Corvus_corax_image_2.jpg|Corvus_corax_image_3.jpg|Corvus_corax_image_4.jpg|Corvus_corax_image_5.jpg,,,,
Corvus cornix,Corvus_cornix_image_1.jpg|Corvus_cornix_image_2.jpg|Corvus_cornix_image_3.jpg|Corvus_cornix_image_4.jpg|Corvus_cornix_image_5.jpg,,,,
Corvus corone,Corvus_corone_image_1.jpg|Corvus_corone_image_2.jpg|Corvus_corone_image_3.jpg|Corvus_corone_image_4.jpg|Corvus_corone_image_5.jpg,,,,
Corvus frugilegus,Corvus_frugilegus_image_1.jpg|Corvus_frugilegus_image_2.jpg|Corvus_frugilegus_image_3.jpg|Corvus_frugilegus_image_4.jpg|Corvus_frugilegus_image_5.jpg,,,,
Corvus monedula,Corvus_monedula_image_1.jpg|Corvus_monedula_image_2.jpg|Corvus_monedula_image_3.jpg|Corvus_monedula_image_4.jpg|Corvus_monedula_image_5.jpg,,,,
Coturnix coturnix,,Coturnix_coturnix_image_female_1.jpg|Coturnix_coturnix_image_female_2.jpg|Coturnix_coturnix_image_female_3.jpg|Coturnix_coturnix_image_female_4.jpg,Coturnix_coturnix_image_male_1.jpg|Coturnix_coturnix_image_male_2.jpg|Coturnix_coturnix_image_male_5.jpg,,
Cuculus canorus,,Cuculus_canorus_image_female_1.jpg|Cuculus_canorus_image_female_2.jpg|Cuculus_canorus_image_female_3.jpg|Cuculus_canorus_image_female_4.jpg|Cuculus_canorus_image_female_5.jpg,Cuculus_canorus_image_male_1.jpg|Cuculus_canorus_image_male_2.jpg|Cuculus_canorus_image_male_3.jpg|Cuculus_canorus_image_male_4.jpg|Cuculus_canorus_image_male_5.jpg,,
Curruca communis,,Sylvia_communis_image_female_1.jpg|Sylvia_communis_image_female_2.jpg|Sylvia_communis_image_female_3.jpg|Sylvia_communis_image_female_4.jpg|Sylvia_communis_image_female_5.jpg,Sylvia_communis_image_male_1.jpg|Sylvia_communis_image_male_2.jpg|Sylvia_communis_image_male_3.jpg|Sylvia_communis_image_male_4.jpg|Sylvia_communis_image_male_5.jpg,,
Cyanistes caeruleus,,Cyanistes_caeruleus_image_female_1.jpg|Cyanistes_caeruleus_image_female_2.jpg|Cyanistes_caeruleus_image_female_3.jpg,Cyanistes_caeruleus_image_male_1.jpg|Cyanistes_caeruleus_image_male_2.jpg|Cyanistes_caeruleus_image_male_3.jpg|Cyanistes_caeruleus_image_male_4.jpg|Cyanistes_caeruleus_image_male_5.jpg,,
Cygnus bewick,Cygnus_columbianus_bewickii_image_1.jpg|Cygnus_columbianus_bewickii_image_2.jpg|Cygnus_columbianus_bewickii_image_3.jpg|Cygnus_columbianus_bewickii_image_4.jpg|Cygnus_columbianus_bewickii_image_5.jpg,,,,
Cygnus cygnus,Cygnus_cygnus_image_1.jpg|Cygnus_cygnus_image_2.jpg|Cygnus_cygnus_image_3.jpg|Cygnus_cygnus_image_4.jpg|Cygnus_cygnus_image_5.jpg,,,,
Cygnus olor,Cygnus_olor_image_1.jpg|Cygnus_olor_image_2.jpg|Cygnus_olor_image_3.jpg|Cygnus_olor_image_4.jpg|Cygnus_olor_image_5.jpg,,,,
Delichon urbicum,Delichon_urbicum_image_1.jpg|Delichon_urbicum_image_2.jpg|Delichon_urbicum_image_3.jpg|Delichon_urbicum_image_4.jpg|Delichon_urbicum_image_5.jpg,,,,
