name,image,image_female,image_male,image_silh,map
Larus canus,Larus_canus_image_1.jpg|Larus_canus_image_2.jpg|Larus_canus_image_3.jpg|Larus_canus_image_4.jpg|Larus_canus_image_5.jpg,,,,
Larus fuscus,Larus_fuscus_image_1.jpg|Larus_fuscus_image_2.jpg|Larus_fuscus_image_3.jpg|Larus_fuscus_image_4.jpg|Larus_fuscus_image_5.jpg,,,,
Larus marinus,Larus_marinus_image_1.jpg|Larus_marinus_image_2.jpg|Larus_marinus_image_3.jpg|Larus_marinus_image_4.jpg|Larus_marinus_image_5.jpg,,,,
Limosa limosa,Limosa_limosa_image_1.jpg|Limosa_limosa_image_2.jpg|Limosa_limosa_image_3.jpg|Limosa_limosa_image_4.jpg|Limosa_limosa_image_5.jpg,,,,
Linaria cannabina,,Linaria_cannabina_image_female_1.jpg|Linaria_cannabina_image_female_2.jpg|Linaria_cannabina_image_female_3.jpg|Linaria_cannabina_image_female_4.jpg|Linaria_cannabina_image_female_5.jpg,Linaria_cannabina_image_male_1.jpg|Linaria_cannabina_image_male_2.jpg|Linaria_cannabina_image_male_3.jpg|Linaria_cannabina_image_male_4.jpg|Linaria_cannabina_image_male_5.jpg,,
Luscinia svecica,,Luscinia_svecica_image_female_1.jpg|Luscinia_svecica_image_female_2.jpg|Luscinia_svecica_image_female_3.jpg|Luscinia_svecica_image_female_4.jpg|Luscinia_svecica_image_female_5.jpg,Luscinia_svecica_image_male_1.jpg|Luscinia_svecica_image_male_2.jpg|Luscinia_svecica_image_male_3.jpg|Luscinia_svecica_image_male_4.jpg|Luscinia_svecica_image_male_5.jpg,,
Mareca penelope,,Anas_penelope_image_female_1.jpg|Anas_penelope_image_female_2.jpg|Anas_penelope_image_female_3.jpg|Anas_penelope_image_female_4.jpg|Anas_penelope_image_female_5.jpg,Anas_penelope_image_male_1.jpg|Anas_penelope_image_male_2.jpg|Anas_penelope_image_male_3.jpg|Anas_penelope_image_male_4.jpg|Anas_penelope_image_male_5.jpg,,
Mareca strepera,,Anas_strepera_image_female_1.jpg|Anas_strepera_image_female_2.jpg|Anas_strepera_image_female_3.jpg|Anas_strepera_image_female_4.jpg|Anas_strepera_image_female_5.jpg,Anas_strepera_image_male_1.jpg|Anas_strepera_image_male_2.jpg|Anas_strepera_image_male_3.jpg|Anas_strepera_image_male_4.jpg|Anas_strepera_image_male_5.jpg,,
Motacilla alba,Motacilla_alba_image_1.jpg|Motacilla_alba_image_2.jpg|Motacilla_alba_image_3.jpg|Motacilla_alba_image_4.jpg|Motacilla_alba_image_5.jpg,,,,
Motacilla flava,,Motacilla_flava_image_female_1.jpg|Motacilla_flava_image_female_2.jpg|Motacilla_flava_image_female_3.jpg|Motacilla_flava_image_female_4.jpg|Motacilla_flava_image_female_5.jpg,Motacilla_flava_image_male_1.jpg|Motacilla_flava_image_male_2.jpg|Motacilla_flava_image_male_3.jpg|Motacilla_flava_image_male_4.jpg|Motacilla_flava_image_male_5.jpg,,
Numenius arquata,Numenius_arquata_image_1.jpg|Numenius_arquata_image_2.jpg|Numenius_arquata_image_3.jpg|Numenius_arquata_image_4.jpg|Numenius_arquata_image_5.jpg,,,,
