,name,song_1,song_2,song_3,song_4,song_5,call_1,call_2,call_3,call_4,call_5
61,Falco tinnunculus,,,,,,[sound:Falco_tinnunculus_call_1.mp3],,,,
62,Fringilla coelebs,[sound:Fringilla_coelebs_song_1.mp3],,,,,[sound:Fringilla_coelebs_call_1.mp3],,,,
63,Fulica atra,,,,,,[sound:Fulica_atra_call_1.mp3],,,,
64,Gallinula chloropus,,,,,,[sound:Gallinula_chloropus_call_1.mp3],,,,
65,Garrulus glandarius,[sound:Garrulus_glandarius_song_1.mp3],,,,,[sound:Garrulus_glandarius_call_1.mp3],,,,
66,Haematopus ostralegus,[sound:Haematopus_ostralegus_song_1.mp3],,,,,[sound:Haematopus_ostralegus_call_1.mp3],,,,
67,Haliaeetus albicilla,,,,,,[sound:Haliaeetus_albicilla_call_1.mp3],,,,
68,Hirundo rustica,[sound:Hirundo_rustica_song_1.mp3],,,,,[sound:Hirundo_rustica_call_1.mp3],,,,
69,Ichthyaetus melanocephalus,,,,,,[sound:Ichthyaetus_melanocephalus_call_1.mp3],,,,
70,Larus argentatus,,,,,,[sound:Larus_argentatus_call_1.mp3],,,,
71,Larus canus,,,,,,[sound:Larus_canus_call_1.mp3],,,,
72,Larus fuscus,,,,,,[sound:Larus_fuscus_call_1.mp3],,,,
73,Larus marinus,,,,,,[sound:Larus_marinus_call_1.mp3],,,,
74,Limosa limosa,[sound:Limosa_limosa_song_1.mp3],,,,,[sound:Limosa_limosa_call_1.mp3],,,,
75,Linaria cannabina,[sound:Linaria_cannabina_song_1.mp3],,,,,[sound:Linaria_cannabina_call_1.mp3],,,,
76,Luscinia svecica,[sound:Luscinia_svecica_song_1.mp3],,,,,[sound:Luscinia_svecica_call_1.mp3],,,,
77,Motacilla alba,[sound:Motacilla_alba_song_1.mp3],,,,,[sound:Motacilla_alba_call_1.mp3],,,,
78,Motacilla flava,[sound:Motacilla_flava_song_1.mp3],,,,,[sound:Motacilla_flava_call_1.mp3],,,,
79,Numenius arquata,[sound:Numenius_arquata_song_1.mp3],,,,,,,,,
80,Numenius phaeopus,[sound:Numenius_phaeopus_song_1.mp3],,,,,[sound:Numenius_phaeopus_call_1.mp3],,,,
81,Pandion haliaetus,,,,,,[sound:Pandion_haliaetus_call_1.mp3],,,,
82,Parus major,[sound:Parus_major_song_1.mp3],,,,,[sound:Parus_major_call_1.mp3],,,,
83,Passer domesticus,[sound:Passer_domesticus_song_1.mp3],,,,,,,,,
84,Passer montanus,[sound:Passer_montanus_song_1.mp3],,,,,,,,,
85,Perdix perdix,[sound:Perdix_perdix_song_1.mp3],,,,,[sound:Perdix_perdix_call_1.mp3],,,,
86,Pernis apivorus,,,,,,[sound:Pernis_apivorus_call_1.mp3],,,,
87,Phalacrocorax carbo,,,,,,[sound:Phalacrocorax_carbor_call_1.mp3],,,,
88,Phasianus colchicus,[sound:Phasianus_colchicus_song_1.mp3],,,,,,,,,
89,Phylloscopus collybita,[sound:Phylloscopus_collybita_song_1.mp3],,,,,[sound:Phylloscopus_collybita_call_1.mp3],,,,
90,Phylloscopus trochilus,[sound:Phylloscopus_trochilus_song_1.mp3],,,,,[sound:Phylloscopus_trochilus_call_1.mp3],,,,
91,Pica pica,,,,,,[sound:Pica_pica_call_1.mp3],,,,
92,Picus viridis,[sound:Picus_viridis_song_1.mp3],,,,,[sound:Picus_viridis_call_1.mp3],,,,
93,Podiceps cristatus,,,,,,[sound:Podiceps_cristatus_call_1.mp3],,,,
94,Podiceps nigricollis,,,,,,[sound:Podiceps_nigricollis_call_1.mp3],,,,
95,Poecile montanus,[sound:Poecile_montanus_song_1.mp3],,,,,[sound:Poecile_montanus_call_1.mp3],,,,
96,Poecile palustris,[sound:Poecile_palustris_song_1.mp3],,,,,[sound:Poecile_palustris_call_1.mp3],,,,
97,Prunella modularis,[sound:Prunella_modularis_song_1.mp3],,,,,,,,,
98,Regulus regulus,[sound:Regulus_regulus_song_1.mp3],,,,,[sound:Regulus_regulus_call_1.mp3],,,,
99,Riparia riparia,,,,,,[sound:Riparia_riparia_call_1.mp3],,,,
100,Sitta europaea,[sound:Sitta_europaea_song_1.mp3],,,,,[sound:Sitta_europaea_call_1.mp3],,,,
101,Spinus spinus,[sound:Spinus_spinus_song_1.mp3],,,,,[sound:Spinus_spinus_call_1.mp3],,,,
102,Streptopelia decaocto,[sound:Streptopelia_decaocto_song_1.mp3],,,,,[sound:Streptopelia_decaocto_call_1.mp3],,,,
103,Strix aluco,[sound:Strix_aluco_song_1.mp3],,,,,[sound:Strix_aluco_call_1.mp3],,,,
104,Sturnus vulgaris,[sound:Sturnus_vulgaris_song_1.mp3],,,,,[sound:Sturnus_vulgaris_call_1.mp3],,,,
105,Sylvia atricapilla,[sound:Sylvia_atricapilla_song_1.mp3],,,,,[sound:Sylvia_atricapilla_call_1.mp3],,,,
106,Sylvia borin,[sound:Sylvia_borin_song_1.mp3],,,,,[sound:Sylvia_borin_call_1.mp3],,,,
107,Curruca communis,[sound:Sylvia_communis_song_1.mp3],,,,,[sound:Sylvia_communis_call_1.mp3],,,,
108,Tachybaptus ruficollis,,,,,,[sound:Tachybaptus_ruficollis_call_1.mp3],,,,
109,Tringa ochropus,[sound:Tringa_ochropus_song_1.mp3],,,,,[sound:Tringa_ochropus_call_1.mp3],,,,
110,Tringa totanus,[sound:Tringa_totanus_song_1.mp3],,,,,[sound:Tringa_totanus_call_1.mp3],,,,
111,Troglodytes troglodytes,[sound:Troglodytes_troglodytes_song_1.mp3],,,,,[sound:Troglodytes_troglodytes_call_1.mp3],,,,
112,Turdus merula,[sound:Turdus_merula_song_1.mp3],,,,,[sound:Turdus_merula_call_1.mp3],[sound:Turdus_merula_call_2.mp3],,,
113,Turdus philomelos,[sound:Turdus_philomelos_song_1.mp3],,,,,[sound:Turdus_philomelos_call_1.mp3],,,,
114,Turdus viscivorus,[sound:Turdus_viscivorus_song_1.mp3],,,,,[sound:Turdus_viscivorus_call_1.mp3],,,,
115,Tyto alba,[sound:Tyto_alba_song_1.mp3],,,,,[sound:Tyto_alba_call_1.mp3],,,,
116,Vanellus vanellus,[sound:Vanellus_vanellus_song_1.mp3],,,,,[sound:Vanellus_vanellus_call_1.mp3],,,,
117,Cygnus columbianus bewickii,,,,,,[sound:Cygnus_columbianus_bewickii_call_1.mp3],,,,
118,Pyrrhula pyrrhula,[sound:Pyrrhula_pyrrhula_song_1.mp3],,,,,[sound:Pyrrhula_pyrrhula_call_1.mp3],,,,
