en,nl,de,fr,es,eo,ru
forests,,Wälder,,,,
conifer forests,,Nadelwälder,,,,
broadleaf forests,,Laubwälder,,,,
parks,,Parks,,,,
gardens,,Gärten,,,,
human settlements,,Siedlungen,,,,
cities,,Städte,,,,
villages,,Dörfer,,,,
