name,lang,,,,
Sitta europaea,de,"Ein „Kleiber“ ist im Mittelhochdeutschen ein Handwerker, der eine Lehmwand baut – so wie der Vogel die Eingänge der Nisthöhlen mit Lehm verkleidetet.",,,
Sitta europaea,fr,,,,
Sitta europaea,es,,,,
Sitta europaea,eo,,,,
Sitta europaea,ru,,,,
Fulica atra,en,,,,
Fulica atra,nl,,,,
Fulica atra,de,Blässhühner sind im Winter eine bevorzugte Beute des Seeadlers.,,,
Fulica atra,fr,,,,
Fulica atra,es,,,,
Fulica atra,eo,,,,
Fulica atra,ru,,,,
Chloris chloris,en,,,,
Chloris chloris,nl,,,,
Chloris chloris,de,,,,
Chloris chloris,fr,,,,
Chloris chloris,es,,,,
Chloris chloris,eo,,,,
Chloris chloris,ru,,,,
Motacilla alba,en,,,,
Motacilla alba,nl,,,,
Motacilla alba,de,,,,
Motacilla alba,fr,,,,
Motacilla alba,es,,,,
Motacilla alba,eo,,,,
Motacilla alba,ru,,,,
Sylvia atricapilla,en,,,,
Sylvia atricapilla,nl,,,,
Sylvia atricapilla,de,"Mönchsgrasmücken passen sich flexibel an mildere Winter an: In den 80er Jahren entdeckten sie England als Überwinterungsgebiet, das auch heute noch genutzt wird.",,,
Sylvia atricapilla,fr,,,,
Sylvia atricapilla,es,,,,
Sylvia atricapilla,eo,,,,
Sylvia atricapilla,ru,,,,
Cygnus olor,en,,,,
Cygnus olor,nl,,,,
Cygnus olor,de,"Der elegante Schwan gilt häufig als Symbol der Liebe, allerdings zeigt er im Frühjahr am Brutplatz ein aggressives Verhalten gegenüber potenziellen Feinden.",,,
Cygnus olor,fr,,,,
Cygnus olor,es,,,,
Cygnus olor,eo,,,,
Cygnus olor,ru,,,,
Anser anser,en,,,,
Anser anser,nl,,,,
Anser anser,de,Bei Graugänsen gibt es auch gleichgeschlechtliche Partnerschaften zwischen Männchen.,,,
Anser anser,fr,,,,
Anser anser,es,,,,
Anser anser,eo,,,,
Anser anser,ru,,,,
Carduelis carduelis,en,,,,
Carduelis carduelis,nl,,,,
Carduelis carduelis,de,"Einer Sage nach hat der Stieglitz, um den Schmerz zu lindern, einen Dorn aus der Haut Jesu Christi gezogen und kam durch das heilige Blut an seine rote Gesichtsmaske.",,,
Carduelis carduelis,fr,,,,
Carduelis carduelis,es,,,,
Carduelis carduelis,eo,,,,
Carduelis carduelis,ru,,,,
Falco tinnunculus,en,,,,
Falco tinnunculus,nl,,,,
Falco tinnunculus,de,Als einzige der in Deutschland brütenden Falkenarten ist das Aussehen von Männlein und Weiblein beim Turmfalken unterschiedlich.,,,
Falco tinnunculus,fr,,,,
Falco tinnunculus,es,,,,
Falco tinnunculus,eo,,,,
Falco tinnunculus,ru,,,,
Chroicocephalus ridibundus,en,,,,
Chroicocephalus ridibundus,nl,,,,
Chroicocephalus ridibundus,de,"Den Zugang in die Brutkolonie erhalten Lachmöwen erst, wenn im dritten Lebensjahr ihr Kopf eindeutig dunkel gefärbt ist.",,,
Chroicocephalus ridibundus,fr,,,,
Chroicocephalus ridibundus,es,,,,
