name,filename,media_type,user,url,license
Acrocephalus schoenobaenus,Acrocephalus_schoenobaenus_image_5.jpg,image,© Rob Belterman,https://waarneming.nl/foto/view/6341025,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Acrocephalus schoenobaenus,Acrocephalus_schoenobaenus_song_1.mp3,song,© lobyks,http://www.xeno-canto.org/132305,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Acrocephalus scirpaceus,Acrocephalus_scirpaceus_call_1.mp3,call,© Lars Buckx,http://www.xeno-canto.org/176090,http://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
Acrocephalus scirpaceus,Acrocephalus_scirpaceus_image_1.jpg,image,© Will Schep,http://waarneming.nl/foto/view/4827321,http://creativecommons.org/licenses/by/3.0/legalcode
Acrocephalus scirpaceus,Acrocephalus_scirpaceus_image_2.jpg,image,© Marianne Slot,https://waarneming.nl/foto/view/14179850,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Acrocephalus scirpaceus,Acrocephalus_scirpaceus_image_3.jpg,image,© Hans Niekus,https://waarneming.nl/foto/view/13376528,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Acrocephalus scirpaceus,Acrocephalus_scirpaceus_image_4.jpg,image,© f&amp;s martens,https://waarneming.nl/foto/view/9141533,https://creativecommons.org/licenses/by-nd/3.0/legalcode
Acrocephalus scirpaceus,Acrocephalus_scirpaceus_image_5.jpg,image,© Bert Geelmuijden,https://waarneming.nl/foto/view/7079694,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Acrocephalus scirpaceus,Acrocephalus_scirpaceus_song_1.mp3,song,© Björn Karlsson,http://www.xeno-canto.org/162862,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Aegithalos caudatus,Aegithalos_caudatus_call_1.mp3,call,© Ruud van Beusekom,http://www.xeno-canto.org/30571,http://creativecommons.org/licenses/by-nc-nd/2.5/legalcode
Aegithalos caudatus,Aegithalos_caudatus_image_1.jpg,image,© Gerrit Welgraven,http://waarneming.nl/foto/view/10006961,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Aegithalos caudatus,Aegithalos_caudatus_image_2.jpg,image,© Fred Visscher,https://waarneming.nl/foto/view/4028874,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Aegithalos caudatus,Aegithalos_caudatus_image_3.jpg,image,© Ed van der Es,https://waarneming.nl/foto/view/12656075,https://creativecommons.org/licenses/by/3.0/legalcode
Aegithalos caudatus,Aegithalos_caudatus_image_4.jpg,image,© Koos Werther,https://waarneming.nl/foto/view/10415175,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Aegithalos caudatus,Aegithalos_caudatus_image_5.jpg,image,© Ernest van Asseldonk,https://waarneming.nl/foto/view/5940917,https://creativecommons.org/licenses/by/3.0/legalcode
Aegithalos caudatus,Aegithalos_caudatus_song_1.mp3,song,© Krzysztof Deoniziak,http://www.xeno-canto.org/195877,http://creativecommons.org/licenses/by-nc-nd/4.0/legalcode
Alauda arvensis,Alauda_arvensis_call_1.mp3,call,© Alain Verneau,https://www.xeno-canto.org/596652,https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
Alauda arvensis,Alauda_arvensis_image_1.jpg,image,© Paul Kruger,https://waarneming.nl/foto/view/25800111,https://creativecommons.org/licenses/by/3.0/legalcode
Alauda arvensis,Alauda_arvensis_image_2.jpg,image,© Jan Aalders,https://waarneming.nl/foto/view/25682050,https://creativecommons.org/licenses/by/3.0/legalcode
Alauda arvensis,Alauda_arvensis_image_3.jpg,image,© Hans Niekus,https://waarneming.nl/foto/view/21453718,https://creativecommons.org/licenses/by/3.0/legalcode
Alauda arvensis,Alauda_arvensis_image_4.jpg,image,© Koos Bakker,https://waarneming.nl/foto/view/21540241,https://creativecommons.org/licenses/by/3.0/legalcode
Alauda arvensis,Alauda_arvensis_image_5.jpg,image,© Hans Niekus,https://waarneming.nl/foto/view/21544375,https://creativecommons.org/licenses/by/3.0/legalcode
Alauda arvensis,Alauda_arvensis_song_1.mp3,song,© Gerard OLIVIER,https://www.xeno-canto.org/548651,https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
Alcedo atthis,Alcedo_atthis_call_1.mp3,call,©&nbsp;Matthias Feuersenger,http://www.xeno-canto.org/96524,http://creativecommons.org/licenses/by-nc-nd/2.5/legalcode
Alcedo atthis,Alcedo_atthis_image_female_1.jpg,image_female,,https://waarneming.nl/foto/view/12686306,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alcedo atthis,Alcedo_atthis_image_female_2.jpg,image_female,©&nbsp;René van Rossum,http://waarneming.nl/foto/view/10108518,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Alcedo atthis,Alcedo_atthis_image_female_3.jpg,image_female,© Hans Niekus,https://waarneming.nl/foto/view/13135372,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alcedo atthis,Alcedo_atthis_image_female_4.jpg,image_female,© Tjally Schaap,https://waarneming.nl/foto/view/12788765,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alcedo atthis,Alcedo_atthis_image_female_5.jpg,image_female,,https://waarneming.nl/foto/view/12686780,https://creativecommons.org/licenses/by-sa/3.0/legalcode
Alcedo atthis,Alcedo_atthis_image_male_1.jpg,image_male,©&nbsp;stefan van der Heijden,http://waarneming.nl/foto/view/9989945,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alcedo atthis,Alcedo_atthis_image_male_2.jpg,image_male,© Gerjan Petter,https://waarneming.nl/foto/view/13292159,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alcedo atthis,Alcedo_atthis_image_male_3.jpg,image_male,,https://waarneming.nl/foto/view/12763621,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alcedo atthis,Alcedo_atthis_image_male_4.jpg,image_male,© Leon Goudriaan,https://waarneming.nl/foto/view/12975793,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alcedo atthis,Alcedo_atthis_song_1.mp3,song,© Lars Lachmann,http://www.xeno-canto.org/130664,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Alopochen aegyptiaca,Alopochen_aegyptiaca_call_1.mp3,call,© Jan-Kees Bossenbroek,http://www.xeno-canto.org/113364,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Alopochen aegyptiaca,Alopochen_aegyptiaca_image_1.jpg,image,© Edwin Schuller,http://waarneming.nl/foto/view/6252366,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
